Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
RBP4		ENSG00000138207	"Retinol binding protein 4"	P02753	10	93591687-93601744	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Sensory transduction, Transport, Vision"		"Cancer-related genes, Disease variant, Microphthalmia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	19	"liver: 10726.7"	"Cell type enriched"	"Detected in many"	13	"Hepatocytes: 12476.9"	"Cancer enriched"	"Detected in all"	27	"liver cancer: 3135.4"	"Region enriched"	"Detected in all"	4	"hypothalamus: 204.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	4	"liver cancer: 195.7"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Macrophages, Pancreas - Beta cells, Skin - Adipocytes (Skin), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA001641, CAB004555"	Supported				"Secreted to blood"	Transport	NA	NA	46100000000	210000000000		"Cluster 83: Liver - Metabolism"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	1			"CAB004555: AB_670938, HPA001641: AB_1079795"	"unprognostic (9.42e-3)"	"unprognostic (3.40e-2)"	"unprognostic (1.90e-1)"	"prognostic unfavorable (1.50e-4)"	"unprognostic (2.60e-2)"	"unprognostic (6.69e-4)"	"prognostic favorable (1.74e-8)"	"unprognostic (2.39e-1)"	"unprognostic (5.76e-2)"	"unprognostic (3.26e-2)"	"unprognostic (3.26e-1)"	"unprognostic (3.44e-1)"	"unprognostic (7.14e-3)"	"unprognostic (9.88e-3)"	"unprognostic (2.31e-1)"	"unprognostic (1.03e-1)"	"unprognostic (8.60e-2)"
REG1A	"PSP, PSPS, PSPS1, PTP, REG"	ENSG00000115386	"Regenerating family member 1 alpha"	P05451	2	79120362-79123409	"Plasma proteins, Predicted secreted proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	14	"pancreas: 100880.7"	"Cell type enriched"	"Detected in some"	14	"Exocrine glandular cells: 77260.6"	"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 1268.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	47	"breast cancer: 94.7;colorectal cancer: 64.6;Gastric cancer: 52.0;Rhabdoid: 138.8"		"Low region specificity"	"Detected in single"							"CAB025138, HPA045549, HPA045579"	Enhanced				"Secreted to digestive system"	"No annotated function"	NA	NA		68000000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 45: Non-specific - Mixed function"				"CAB025138: , HPA045549: AB_2679365, HPA045579: AB_2679374"			"unprognostic (1.89e-1)"	"unprognostic (2.91e-2)"	"unprognostic (3.39e-1)"		"unprognostic (1.45e-1)"	"unprognostic (2.10e-1)"		"unprognostic (1.63e-1)"	"unprognostic (5.52e-2)"		"unprognostic (3.54e-3)"	"unprognostic (5.53e-2)"	"unprognostic (5.54e-2)"		
REG1B	"PSPS2, REGH, REGI-BETA, REGL"	ENSG00000172023	"Regenerating family member 1 beta"	P48304	2	79085023-79088019	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	14	"pancreas: 38577.5"	"Cell type enriched"	"Detected in some"	7	"Exocrine glandular cells: 25526.6"	"Cancer enriched"	"Detected in some"	5	"pancreatic cancer: 201.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"colorectal cancer: 1.3"										"HPA045549, HPA045579"	Supported				"Secreted to digestive system"	"No annotated function"	NA	NA		32000000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 45: Non-specific - Mixed function"				"HPA045549: AB_2679365, HPA045579: AB_2679374"			"unprognostic (4.08e-1)"								"unprognostic (1.09e-1)"		"unprognostic (3.51e-3)"	"unprognostic (9.20e-2)"			
REG3A	"HIP, PAP, PAP1, PBCGF, REG-III, REG3"	ENSG00000172016	"Regenerating family member 3 alpha"	Q06141	2	79157003-79159753	"Plasma proteins, Predicted secreted proteins, Transporters"	"Acute phase, Inflammatory response"	Antimicrobial		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	60	"intestine: 6550.6;pancreas: 11855.9"	"Group enriched"	"Detected in some"	6	"Exocrine glandular cells: 8672.0;Undifferentiated cells: 5194.2"	"Cancer enhanced"	"Detected in some"		"pancreatic cancer: 710.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	17	"colorectal cancer: 13.6"										"HPA047894, HPA048334, HPA060705"	Supported		Approved	Cytosol	"Secreted to digestive system"	"Acute phase"	NA	NA		23000000		"Cluster 48: Stomach - Proteolysis"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	1	Cytosol		"HPA047894: AB_2680202, HPA048334: AB_2680363, HPA060705: AB_2684346"			"unprognostic (2.43e-2)"				"unprognostic (2.12e-1)"				"unprognostic (3.62e-2)"			"unprognostic (1.42e-1)"			
REG3G	"LPPM429, PAP1B, UNQ429"	ENSG00000143954	"Regenerating family member 3 gamma"	Q6UW15	2	79025686-79028505	"Predicted secreted proteins"	"Acute phase, Inflammatory response"	Antimicrobial		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	21	"pancreas: 3414.4"	"Group enriched"	"Detected in some"	6	"Exocrine glandular cells: 149.0;Proximal enterocytes: 48.5"	"Cancer enriched"	"Detected in many"	13	"pancreatic cancer: 71.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA047894, HPA048334, HPA060705"	Uncertain		Approved	Cytosol	"Secreted to digestive system"	"Acute phase"	NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 69: Skin cancer - ECM organization"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"		Cytosol		"HPA047894: AB_2680202, HPA048334: AB_2680363, HPA060705: AB_2684346"									"unprognostic (3.29e-1)"	"unprognostic (2.20e-1)"	"unprognostic (1.29e-1)"		"unprognostic (8.82e-2)"	"unprognostic (7.20e-3)"	"unprognostic (5.64e-2)"		
REG4	"GISP, REG-IV, RELP"	ENSG00000134193	"Regenerating family member 4"	Q9BYZ8	1	119794017-119811580	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"intestine: 644.3"	"Group enriched"	"Detected in some"	47	"Enteroendocrine cells: 7572.0;Intestinal goblet cells: 4357.1"	"Group enriched"	"Detected in many"	21	"colorectal cancer: 180.6;pancreatic cancer: 215.1;stomach cancer: 162.9"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in some"	6	"naive CD8 T-cell: 24.7"	"Lineage enriched"	"Detected in single"	100	"T-cells: 24.7"	"Group enriched"	"Detected in many"	4	"colorectal cancer: 119.0;Esophageal cancer: 120.2;Gastric cancer: 177.8;pancreatic cancer: 62.6"	"Colon - Colon enterocytes, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB025867, HPA046555"	Enhanced				"Secreted to digestive system"	"No annotated function"	NA	NA		460000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 25: Small intestine - Absorption"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 20: Enteroendocrine cells - Hormone signaling"				"CAB025867: , HPA046555: AB_2679696"	"unprognostic (3.22e-2)"	"unprognostic (2.57e-1)"	"unprognostic (2.86e-3)"	"unprognostic (2.57e-1)"	"unprognostic (6.52e-2)"	"unprognostic (6.20e-3)"	"unprognostic (1.11e-1)"	"unprognostic (1.64e-2)"		"unprognostic (7.10e-2)"	"unprognostic (7.85e-2)"	"unprognostic (2.99e-1)"	"unprognostic (5.12e-3)"	"unprognostic (8.49e-2)"	"unprognostic (1.10e-1)"		"unprognostic (1.32e-3)"
RELN	"PRO1598, RL"	ENSG00000189056	Reelin	P78509	7	103471381-103989658	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Cell adhesion"	"Developmental protein, Hydrolase, Protease, Serine protease"	"Disease variant, Epilepsy, Lissencephaly"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 68.5"	"Cell type enhanced"	"Detected in many"		"Inhibitory neurons: 356.4;Lymphatic endothelial cells: 168.9;Schwann cells: 88.0"	"Cancer enhanced"	"Detected in many"		"liver cancer: 5.7"	"Region enriched"	"Detected in all"	8	"cerebellum: 141.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 21.7;liver cancer: 12.5;Myeloma: 11.2"	"Pancreas - Fibroblasts, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"cerebellum: 148.3"	HPA077891			Approved	"Golgi apparatus,Vesicles"	"Secreted in brain"	"Developmental protein"	NA	NA		30000000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 69: Neurons - Neuronal signaling"		"Golgi apparatus"	Vesicles	"HPA077891: "	"unprognostic (1.42e-1)"	"unprognostic (2.93e-3)"	"unprognostic (4.31e-2)"	"unprognostic (1.29e-4)"	"unprognostic (1.30e-1)"	"unprognostic (6.95e-2)"	"unprognostic (1.85e-1)"	"unprognostic (8.35e-2)"	"unprognostic (1.54e-1)"	"unprognostic (1.48e-2)"	"unprognostic (3.31e-3)"	"unprognostic (3.86e-1)"	"unprognostic (2.02e-2)"	"unprognostic (1.43e-2)"	"unprognostic (3.03e-1)"	"unprognostic (1.35e-1)"	"unprognostic (3.06e-2)"
REN		ENSG00000143839	Renin	P00797	1	204154819-204190324	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Aspartyl protease, Hydrolase, Protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	10	"kidney: 157.7"	"Group enriched"	"Detected in some"	5	"Club cells: 33.8;Late spermatids: 27.8;Smooth muscle cells: 14.8"	"Cancer enriched"	"Detected in many"	8	"renal cancer: 39.4"	"Region enhanced"	"Detected in many"		"choroid plexus: 7.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bladder cancer: 22.1;colorectal cancer: 8.4"	"Lung - Alveolar cells type 2, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA005131	Approved				"Secreted to blood"	Enzyme	NA	NA	692000	10000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 50: Connective tissue cells - ECM organization"	2			"HPA005131: AB_1079174"	"unprognostic (4.45e-2)"	"unprognostic (3.35e-1)"	"unprognostic (1.62e-1)"	"unprognostic (8.58e-2)"		"unprognostic (2.89e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.13e-1)"	"unprognostic (7.20e-3)"	"unprognostic (1.37e-1)"	"unprognostic (1.57e-1)"	"prognostic unfavorable (6.45e-5)"	"unprognostic (1.22e-1)"	"unprognostic (1.70e-1)"	"unprognostic (4.98e-2)"	"unprognostic (6.49e-2)"
RETN	"ADSF, FIZZ3, RETN1"	ENSG00000104918	Resistin	Q9HD89	19	7669049-7670455	"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		Hormone	"Diabetes mellitus, Obesity"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"bone marrow: 244.0"	"Group enriched"	"Detected in some"	9	"Hofbauer cells: 172.4;Kupffer cells: 48.2;Macrophages: 70.5;monocytes: 79.4"	"Group enriched"	"Detected in many"	4	"lung cancer: 2.6;pancreatic cancer: 4.8;thyroid cancer: 1.4"	"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in many"	8	"classical monocyte: 171.1;intermediate monocyte: 92.0;myeloid DC: 118.9;non-classical monocyte: 47.6"	"Group enriched"	"Detected in many"	11	"dendritic cells: 118.9;monocytes: 171.1"	"Cancer enriched"	"Detected in single"	186	"Leukemia: 67.0"	"Adipose subcutaneous - Macrophages, Breast - Macrophages, Liver - Neutrophils, Prostate - Macrophages, Thyroid - Neutrophils"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"								"Secreted to blood"	Hormone	NA	NA	5120000	1200000	"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 51: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 58: Macrophages - Innate immune response"	1				"unprognostic (5.61e-2)"	"unprognostic (6.20e-3)"	"unprognostic (1.32e-2)"	"unprognostic (3.04e-1)"	"unprognostic (5.19e-4)"	"unprognostic (1.53e-4)"	"unprognostic (7.34e-2)"	"unprognostic (3.35e-2)"	"unprognostic (9.30e-2)"	"unprognostic (1.35e-2)"	"unprognostic (1.20e-1)"	"unprognostic (4.02e-1)"	"unprognostic (7.16e-5)"	"unprognostic (4.23e-2)"	"unprognostic (2.26e-1)"	"unprognostic (8.91e-2)"	"unprognostic (1.20e-1)"
RETNLB	"FIZZ2, HXCP2, RELMb"	ENSG00000163515	"Resistin like beta"	Q9BQ08	3	108743424-108757410	"Predicted secreted proteins, Transporters"		Hormone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	57	"intestine: 223.6"	"Cell type enriched"	"Detected in some"	19	"Intestinal goblet cells: 206.0"	"Cancer enriched"	"Detected in some"	10	"colorectal cancer: 16.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"colorectal cancer: 1.1"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA049152	Enhanced		Uncertain	"Endoplasmic reticulum"	"Secreted to blood"	Hormone	NA	NA	123000			"Cluster 45: Intestine - Digestion"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 16: Intestinal goblet cells - Mucin production"		"Endoplasmic reticulum"		"HPA049152: AB_2680655"			"prognostic favorable (6.86e-5)"			"unprognostic (1.19e-3)"		"unprognostic (3.37e-2)"		"unprognostic (4.69e-2)"				"unprognostic (2.67e-2)"	"unprognostic (5.78e-2)"		"unprognostic (4.26e-1)"
RGMA	RGM	ENSG00000182175	"Repulsive guidance molecule BMP co-receptor a"	Q96B86	15	93035271-93089211	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skeletal muscle: 192.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 135.9;Basal squamous epithelial cells: 44.1;Leydig cells: 115.8;Peritubular cells: 113.1;Skeletal myocytes: 50.7;Spermatogonia: 45.4;Squamous epithelial cells: 58.6"	"Cancer enriched"	"Detected in many"	6	"glioma: 26.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 12.3;Sarcoma: 10.4"	"Kidney - Fibroblasts, Lung - Fibroblast_2, Skin - Outer root sheath cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB012343, HPA039880, HPA044222"	Approved		Approved	Nucleoplasm,Cytosol	"Secreted - unknown location"	"No annotated function"	NA	NA		2000000		"Cluster 79: Non-specific - Transcription"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 53: Fibroblasts - ECM organization"	1	Nucleoplasm	Cytosol	"CAB012343: AB_777667, HPA039880: AB_2676723, HPA044222: AB_2678861"	"unprognostic (3.21e-2)"	"unprognostic (1.59e-1)"	"unprognostic (8.85e-2)"	"unprognostic (3.96e-3)"	"unprognostic (5.73e-2)"	"unprognostic (4.72e-3)"	"unprognostic (2.53e-2)"	"prognostic favorable (2.78e-4)"	"unprognostic (2.19e-2)"	"unprognostic (1.12e-1)"	"unprognostic (2.11e-1)"	"unprognostic (6.25e-2)"	"unprognostic (3.59e-4)"	"unprognostic (8.11e-2)"	"unprognostic (2.92e-2)"	"unprognostic (1.73e-1)"	"unprognostic (7.98e-5)"
RLN1	H1	ENSG00000107018	"Relaxin 1"	P04808	9	5334930-5339876	"Plasma proteins, Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	71	"prostate: 22.7"	"Cell type enriched"	"Detected in some"	10	"Prostatic glandular cells: 45.8"	"Cancer enriched"	"Detected in some"	106	"prostate cancer: 67.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	59	"prostate cancer: 6.5"	"Prostate - Prostate glandular cells, Testis - Early spermatids"														"Secreted to blood"	Hormone	NA	NA				"Cluster 64: Neuronal - Transcription"		"Cluster 60: Prostate cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"	1				"unprognostic (7.12e-6)"	"unprognostic (2.32e-1)"	"unprognostic (7.29e-2)"	"unprognostic (1.98e-1)"	"unprognostic (2.22e-2)"	"unprognostic (1.04e-1)"		"unprognostic (4.32e-2)"	"unprognostic (3.44e-1)"	"unprognostic (5.14e-2)"	"unprognostic (4.08e-4)"	"unprognostic (8.15e-2)"	"unprognostic (2.89e-4)"	"unprognostic (8.82e-3)"	"unprognostic (3.23e-2)"	"unprognostic (3.23e-2)"	"unprognostic (1.53e-2)"
RLN2	"bA12D24.1.1, bA12D24.1.2, H2, RLXH2"	ENSG00000107014	"Relaxin 2"	P04090	9	5299864-5304716	"Predicted intracellular proteins, Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 5.0"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 16.0;Oocytes: 48.5;Spermatocytes: 14.6;Syncytiotrophoblasts: 12.2"	"Group enriched"	"Detected in some"	5	"breast cancer: 2.0;prostate cancer: 6.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	26	"gdT-cell: 1.4;MAIT T-cell: 4.2;memory B-cell: 1.9;memory CD4 T-cell: 2.8;memory CD8 T-cell: 2.3;naive B-cell: 1.4;naive CD4 T-cell: 4.0;naive CD8 T-cell: 3.0;NK-cell: 3.5;T-reg: 1.4"	"Group enriched"	"Detected in many"	33	"B-cells: 1.9;NK-cells: 3.5;T-cells: 4.2"	"Cancer enhanced"	"Detected in many"		"prostate cancer: 6.3"	"Breast - Breast glandular cells, Prostate - Prostate glandular cells, Testis - Early spermatids"														"Secreted to blood"	Hormone	NA	NA	24400	10000	"Cluster 24: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"					"unprognostic (1.63e-3)"	"unprognostic (1.26e-1)"	"unprognostic (2.09e-3)"	"unprognostic (2.84e-1)"	"unprognostic (2.03e-2)"	"unprognostic (9.99e-2)"		"unprognostic (1.48e-1)"	"unprognostic (2.77e-2)"	"unprognostic (2.91e-3)"	"unprognostic (2.50e-3)"	"unprognostic (9.18e-2)"	"unprognostic (1.74e-6)"	"unprognostic (2.36e-1)"	"unprognostic (4.71e-2)"	"unprognostic (1.88e-2)"	"unprognostic (8.41e-4)"
RLN3	"H3, RXN3, ZINS4"	ENSG00000171136	"Relaxin 3"	Q8WXF3	19	14028148-14031551	"Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"parathyroid gland: 1.6;testis: 1.0"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 2.7;Kupffer cells: 3.8;Late spermatids: 8.2;Macrophages: 1.5;monocytes: 1.7;Spermatogonia: 1.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Group enriched"	"Detected in some"	11	"midbrain: 11.7;pons and medulla: 27.2"	"Region enriched"	"Detected in many"	9	"pons: 31.2"						"Secreted to blood"	Hormone	NA	NA	60000000			"Cluster 24: Parathyroid gland - Vesicular transport"		"Cluster 47: Leukemia - Hemostasis"	"Cluster 36: Late spermatids - Unknown function"												"unprognostic (1.96e-2)"		"unprognostic (2.54e-2)"					"unprognostic (3.94e-1)"		
RNASE1	"RAC1, RNS1"	ENSG00000129538	"Ribonuclease A family member 1, pancreatic"	P07998	14	20801228-20802855	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Endonuclease, Hydrolase, Lyase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	9	"pancreas: 8831.6"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 775.0;Alveolar cells type 1: 1360.4;Alveolar cells type 2: 1066.1;Gastric mucus-secreting cells: 767.6;Hofbauer cells: 1650.7;Macrophages: 1284.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"classical monocyte: 9.7;myeloid DC: 20.3"	"Group enriched"	"Detected in many"	9	"dendritic cells: 20.3;monocytes: 9.7"	"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 78.8;pancreatic cancer: 57.9;skin cancer: 60.1"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Pancreas - Exocrine glandular cells, Skeletal muscle - Macrophages, Testis - Sertoli cells, Thyroid - Macrophages"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA001140	Enhanced		Approved	Nucleoplasm,Vesicles	"Secreted to digestive system"	Enzyme	NA	NA		1100000000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 11: White matter - Signal transduction"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 58: Macrophages - Innate immune response"	2	Vesicles	Nucleoplasm	"HPA001140: AB_1079816"	"unprognostic (2.32e-2)"	"unprognostic (3.16e-2)"	"unprognostic (9.51e-3)"	"unprognostic (7.77e-2)"	"unprognostic (6.93e-2)"	"unprognostic (1.28e-1)"	"unprognostic (3.42e-3)"	"unprognostic (6.59e-3)"	"unprognostic (4.69e-2)"	"unprognostic (7.92e-2)"	"unprognostic (6.32e-2)"	"unprognostic (3.56e-2)"	"unprognostic (5.14e-3)"	"unprognostic (1.11e-2)"	"unprognostic (1.47e-1)"	"unprognostic (2.43e-2)"	"unprognostic (1.67e-1)"
